rating,title,author,date,aircraft,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,content_clean,trip_verified,sentiment
3,"""can't even choose my own seat""",G Layne,2024-05-20,Solo Leisure,Not Rated,Not Rated,Not Rated,Not Rated,1,Not Rated,3,no,really terrible user experience british airways website is full of glitches i cant even choose my own seat due to cookie problems never had this problem with any other airlines,Verified,Negative
9,Very impressed with BA,H Harrison,2024-05-18,Couple Leisure,4,5,5,5,4,Not Rated,4,Yes,very impressed with ba check in online was a little convoluted but once through that everything was great we flew in standard economy and paid to choose our seats this seems to be standard for all airlines now and how they keep initial prices down but worth doing so we could sit together meals were excellent and drinks great a simple water and biscuit on our short internal leg but still included and then 1 drink 1 main meal and 1 snack on our 7 hour leg was better than our last trip on emirates they gave out double drinks at drink service that was 2 cokes and 2 beers for my partner and he was well pleased staff friendly bags transfered and arrived in good condition and entertainment on route was good too will definitely choose ba again over other airlines,Verified,Positive
3,"""appalling customer service""",E Burton,2024-05-14,A380 / Boeing 777-200ER,2,5,4,4,5,Not Rated,2,no,lhr sfo las lgw august 2023 in club world its a shame that the british airways experience is split into a mixture of fantastic ground and cabin crew and dated products and dreadful after service our flight to san francisco was on an a380 the interior of which was showing its age two of our 3 seats had issues 1 would not recline the dividing screen to the next seat would not stay up and the other was temperamental with its recline and the ife would not respond to the controls crew on board were great but the dated and aging product for which top dollar is charged for should have been upgraded years ago a shame for such a great aircraft coming back from las vegas to lgw on an tired 777 we were informed at check in that there was an issue with the seats we had prebooked and paid for and that we would need to be moved seats we were moved to were fine and worked the original seats had people in them and they appeared fine flight was late landing and departing due to weather conditions in vegas but the aircraft was turned round in a super quick time which was impressive where ba have really let themselves down is the after flight experience after 3 12 months we got an acknowledgement and avios credit for the issues on the flight to sfo we are still waiting 9 months later for the avios points we used to pay for the seat selection to be refunded for the las vegas to london gatwick leg of the flight despite numerous attempts to contact they havent got back to us our avios account page through ba wont load our recent transactions and does not list the flights weve taken in the last 12 months wont be travelling with ba for a long long time now dated and poorly maintained on board products and appalling customer service,Verified,Positive
2,"""baggage customer service is a joke""",Loretta Ahmad,2024-05-08,Couple Leisure,2,2,1,2,1,1,2,no,i flew from malaga via lhr to boston on the 4th may 2024 and on arrival in boston discovered my luggage was still in london filed a report and now 4 days later no sign of the luggage the baggage customer service is a joke not interested in the clients or giving a good service updates are useless i know my luggage has been sitting in boston since the 5th as i have an air tag inside it the airline seem to have no intention of getting my luggage to me the robots on fb messenger twitter are useless i opened a complaint when i checked the update of my complaint the case had been closed despite never been contacted by a human this airline is now a joke and if i ever get my luggage back i doubt i will ever fly with them again they are now worse than air canada in my book and that is saying something,Not Verified,Negative
1,"""Worst business class ever""",R Bartelo,2024-05-08,A380,1,2,3,2,2,Not Rated,1,no,milan to miami return via london worst business class ever the layout of a380 of ba is crazy the width of seats is outrageous aisle seats are a shame for ba length is ok but you have to jump over the legs of another passenger when heshe is in sleeping mode unbelievable the system of dividers up and down to reach all seats by crew is absurd and awful never again with this layout meal was below average from lhr to mia while the return was quite good unfortunately for ba i flew in march with qatar airways business class and not comparable just to highlight the difference ba row has 8 seats while qr has 4 seats thats it on top of that the service is quite strange mainly due to dividers above boarding procedures look well organized at the beginning then during boarding become quite messy,Verified,Negative
4,"""replicating the likes of Ryanair""",A Ahmed,2024-05-07,A320,2,1,1,Not Rated,3,1,1,no,ba created a new lowcost subsidiary in ba euroflyer for flights out of london gatwick from a passenger point of view this is meant to mean no difference in service from ba mainline shorthaul out of heathrow however it is most definitely inferior firstly is the seats ba promised to keep their old much more comfortable pinnacle seats up to row 12 in their refurbishment of these planes with slimline seats however at ba euroflyer it seems the whole plane has these installed on some planes despite snagging a seat in row 10 we ended up still with those horrible back breaking seats that have no lumbar support and no headrests one positive of the new seats was meant to be atseat power to charge devices but this didnt have that either the onboard service is meant to include some complimentary food and drink namely a sweet or savoury snack and a small bottle of harrogate spa water what we got was horrible nairns raisin oat biscuits without asking if wed like the other choice and no water on the return flight it was explicitly announced wed be offered a glass of water for free but this was not offered during the service the snack was sole choice of a pack of mcvities milk chocolate digestive hardly premium and downgrade from some of the more alternative and upmarket offerings weve received when flying from heathrow on the way back we did have nonrefurbished plane with pinnacle seats this was welcome however clearly the plane is not maintained as one toilet had no water flowing from the tap very irritating when you soap up to wash your hands after going to the toilet i went to rinse my hand in the other toilet luckily it wasnt busy the tap was working but the sink wasnt draining and almost overflowed lastly the cabin crew on ba euroflyer are very unpolished look miserable and extremely demotivated a lot of them a very young were talking late teens and clearly very inexperienced and not likely to stay long under the conditions offered to them ba really needs to rethink its product offering in shorthaul ultimately people choose to fly with them for variety of reasons but invariably there is a reason like us they dont fly with their lowcost rivals because they want peace of mind less stress and to be comfortable so replicating the likes of ryanair easyjet or wizz air is just alienating as a customer because we choose ba to avoid the kind of experience they offer we were on an award ticket but looking at cash tickets theyre not even cheap nor offer better timings than those rivals despite all this beancounting,Verified,Positive
2,"""declined to offer compensation""",N Wilson,2024-05-05,Solo Leisure,3,3,Not Rated,Not Rated,1,1,1,no,i flew with british airways from heathrow to hannover although the checkin process was relatively quick there was a noticeable lack of staffanother apparent costcutting measure by ba upon arriving in hannover i found that my luggage hadnt made it to the airport and there were no staff to assist i had to file a report online the following day i received a call saying my luggage would arrive on a later flight but this didnt help me since german shops are closed on sundays leaving me without essential items as a result i was confined to my hotel unable to attend any planned events because i didnt have suitable clothing when my luggage eventually reached the hannover airport i got a call from ba informing me that they couldnt deliver it for another day or two they advised me to take a taxi to pick it up and said i could claim back the cost but when i submitted my claim ba refused to cover the taxi expenses they also declined to offer compensation for the inconvenience caused by the delayed baggage even though it disrupted a full day of my trip service on my return flight from frankfurt was also below par from the ground crew at frankfurt airport who were slow rude at check in bas customer service has declined significantly now resembling the level of budget airlines like easyjet and ryanairbut at a premium price given my recent experience i will avoid flying with ba whenever possible,Verified,Positive
6,"""onboard like discount carriers""",Anders Pedersen,2024-05-01,A319 / A320,3,3,2,Not Rated,4,Not Rated,4,Yes,manchester to copenhagen via london on 30th april 2024 aircrafts were a319 and a320 respectively both in decent condition i arrived from africa and had to transit and change terminal to t3 which is very cumbersome and tedious checkin was quick easy and professional got my desired seats due to silver status at ba from t3 i had to go through one of the worst security checks ever encountered fragmenting almost every item in my carryons their escape lounge in t3 is quite decent particular beer choices and prosecco sparkling wine food was very poor neither any savoury snacks nor meaty food at all good tarmac view first flight was delayed forcing me to catch the 2nd in lhr within ½ hour however i was informed clearly at gate upon arriving in lhr assisting me on next gate and the airline managed to transfer the luggage in this extremely narrow timeslot onboard only a minibottle of water and some bagged crumbs were given fairly useless and superfluous no ife or wifi annoying charity beggings from fas on both flights are intrusive annoying disrespectful and degrades the airline offerings onboard like discount carriers except being pricier arrived final destination on time and so did my luggage,Verified,Negative
1,"""Never using them again""",E Lartreanu,2024-04-30,Solo Leisure,1,1,Not Rated,Not Rated,1,1,1,no,i have never seen such disrespect to a customer it was the 3rd time in 2 months that i was unable to do a checkin because of their website not working properly lost 2 hours on the phone with their customer service team at the airport i was asked to check in my hand luggage because they had no more space in the cabin i could not recline my seat and the staff was rude and unhelpful to me the wifi was also not working i made multiple complaints and no one ever even contacted me never using them again,Verified,Negative
1,"""undiscerning and insincere compensation""",Ezra Tan,2024-04-27,A380,3,3,3,1,1,Not Rated,1,no,paid for a 14 hour long flight ticket which includes use of the inflight entertainment system ended up in a seat where the inflight entertainment system was malfunctioning and could not be used at all flight attendants sought to perform a service recovery through their customer relations team contacted by the said team slightly more than a week later with an offer of an evoucher that can only be used in purchasing additional flight tickets with ba explained to them that i had no intentions of travelling again within the next two years so i had no use of an evoucher and sought for an alternative form of compensation instead something that could really be useful instead customer relations simply brushed my request off as them unable to offer any alternate gesture of goodwill compensation in british airways is a matter of goodwill pay for a ticket but dont get what you paid for in full compensation is one that requires you to spend even more money on the airline so that they can disappoint you further an ultimately selfserving inconsiderate undiscerning and insincere compensation which in itself isnt even anything they feel guilty or remorseful about because any compensation is a gesture of goodwill something you dont deserve in their view,Verified,Positive
1,"""mock and insult your passengers""",G Reyes,2024-04-25,A320,3,1,1,Not Rated,2,4,1,no,very inconsiderate pa announcements were made by a purser who appearingly decided to exchange his career at ba for comedy club acting although not at the right setting first prelanding pa my colleague and i had a very long week with british airways so we are dimming the lights as we dont want you to see our faces if you are afraid of the dark just look at the passenger next to you although clearly not the pursers intent it sounded like a mocking and very careless of people with aero darkness phobias who may have a panic attack after such a joke very inconsiderate and damages bas brand as a safe accessible and a trusted airline second pa after landing was if youd like to make a complaint go call easyjet i felt genuinely insulted by this joke ba charged an abusive fee in the end i literally had to beg the rude and dismissive ground staff in madrid not to check my roller bag at gate because i recently had surgery and needed to hold onto it to walk instant noodles which i purchased onboard were barely edible all cabin crew except from one disappeared at the galley where they were loudly chatting and laughing and looked at me as a nuisance even when i just wanted to pass through them to visit the lavatory and then the chief purser effectively announces that if anyone is unhappy they can go fly someone else wake up ba you are already worse than easyjet and ryanair in terms of value for money i note that only ones who found the pursers jokes funny were the other cabin crew who made a few vulgar laughs while passengers remained dead silent i can understand airlines scaling back services to cut costs i will never understand how you can allow your staff to openly mock and insult your passengers i am a ba silver member and have been a loyal ba customer for years a disgrace,Verified,Positive
1,"""lost my luggage on both flights""",David Wright,2024-04-22,A350,3,2,1,Not Rated,1,1,1,no,absolutely terrible lost my luggage on both flights delivered 3 days later smashed to pieces a lete departure caused me to miss the connecting flight yielding a 7 hour delay the aircraft was oversubscribed dirty with an unpleasant persistent odour food was genuinely horrible im ex forces ill eat almost anything usually,Verified,Negative
1,"""the worst experience""",G Han,2024-04-20,Couple Leisure,2,1,1,2,1,2,1,no,we booked premium economy round trip from phoenix to zurich via aa codeshare and operated by british airway on our way return flight back to phoenix february 25th the first leg of the ba flight 0773 between zurich and london heathrow was delayed departure which cause us missed the ba 0289 connection flight between heathrow and phoenix first problem is that when we dash to the terminal 5 security check point at 1200 pm the airplane was still at gate and will not depart until 225 pm if it will be on schedule we had almost 30 min at that point however the terminal 5 security stopped us and was told we cannot pass thru the security due to airline requirement we later realized that flight 0289 did not leave until 330 pm we were directed to the customer service to rebook the flight when we got to ba customer service transfer counter there was only one agent available there were least 12 passengers waiting in the lines we were told ba was short of staffs due to british holiday during end of february and there was a soccer championship match that sunday so it took us at least an hour and half to rebook the same flight next day also it seems there are not much option at all if we want to back to phoenix on different flight on the same day then the agent who rebooked the flight told us his printer was broken and we need go to zone 2 of terminal 5 to get the ticket and hotel voucher printed we found zone 2 and had our ticket and voucher in hand and assure by the agent that our luggage will be on our next day flight with us as well we also told there was a shuttle bus around the corner to take us to the hotel however no map or detail direction provided it took us a while to find out that the shuttle is at back side of the terminal 5 by the time we arrived at hotel we were very tired next day we arrived at airport few hours ahead our scheduled departed time 225 pm i noticed my checked two bags not in the same spot based on my iphones find me feature i had apple air tag in each of my checked bags so i checked with the gate agent she confirmed with me that only one checked bag was associated with my flight luckily the flight was delayed two hours so my other bag made to the same flight while on the flight the team of young flight attendants were generally pleasant but they missed to service me meal i did not order any special meal and the popular chicken dish was not available when she came to my row so i told her any chicken dish will be ok and she told me give her few minutes and she will bring me a different chicken dish however she totally forgot that and only when she came back to collect the trash i mentioned to her she forgot my chicken dish she was surprised and acting like i was lying to her overall i think my premium economy flight on ba is the worst experience in recent memory as the british flagship carrier they seem dont care i emailed my sent my experience to their customer service they responded with a standard corporate reply from one of their email templates,Verified,Negative
6,"""The flights were okay""",Eelco van den Heuvel,2024-04-12,A319 / E190,3,3,3,Not Rated,3,Not Rated,2,no,we chose rotterdam and london city airport because of convenience both small and having a hotel in the docklands meant a short distance from city airport three hours before our departure our flight was canceled however disappointing but we made a swift move to amsterdam schiphol airport but unfortunately we were offered a flight to heathrow which meant almost 15 hours by tube to our hotel flight back operated out of lcy to rtm but had a 30 mins delay so in terms of punctuality ba is not very reliant the flights were okay with a snack and a drink the e190 being far more comfortable with 22 seating and more legroom than the a319 our extra expenses for the cancelled flight were handled promptly and we got all the money for extra transport and food back so ba did a good job in this respect but hesitant to book again though they are the only airline flying between rtm and lcy,Verified,Positive
1,entire experience has been stressful,J Davidson,2024-04-10,Solo Leisure,2,3,Not Rated,Not Rated,3,Not Rated,1,no,the entire booking and ticketing experience has been stressful and erroneous i booked directly with ba as i thought why go to any other airline when their home headquarters is uk and i need to go to the uk mistake this was months ago i could not cancel or change my flight without paying them 750 to cancel my flight and have that money sitting for just 1 year on account otherwise all was lost minus a few hundred in taxes as whom i am really flying with is american airlines and another partner i cant check in without being redirected then those sites dont recognize me i dont appear in aa or aer lingus applications i couldnt ask for more time to change planes in london despite all reviews saying how long and hard it is as that would mean a cancel of plane ticket loss of all money ive been on the phone with agents for over an hour on 3 different calls their app will not let me in without each time a reset of passcode a 30 minute wait for the email and then i get the same error,Verified,Negative
1,"""whole experience was awful""",Jacki Dioguardi,2024-04-10,Family Leisure,Not Rated,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no,british airways cancelled my flight less than 24 hours before automatically rebooked it for 2 days later i called customer service 3 times trying to change it and they would not help my daughter was flying on a different reservation and because i am legally blind i needed to be on the same flight they didnt care nor would they help we eventually bought new tickets on easyjet when we arrive home i entered a complaint to get my fare refunded it took them 4 months and then the response was it was cancelled because of a strike in spain so they wont refund it easyjet didnt cancel the whole experience was awful and so disappointing,Not Verified,Negative
10,This is true service,Enrica H Price,2024-04-07,A340,3,4,3,4,5,4,4,Yes,i wanted to write this review so i could give a huge thank you to one of the staff on lisbon named jay ramphul she went above and beyond and really helped me in an urgent situation i had boarded my flight with 20 minutes before take off when i realized i had left my cell phone in the club lounge i was not going to get permission to deboard and get back on in time for take off jay stepped in and made it happened she literally ran with me a far distance to retrieve my phone with me and get me back on the plane within minutes of take off this is true service i dont know if this review will ever get back to her or her management but i hope it does i want to again express my gratitude for her help and kindness in this matter,Not Verified,Positive
7,"""Flight attendants welcoming""",Mike Flynn,2024-04-03,Boeing 787,3,5,3,4,4,Not Rated,3,Yes,check in fast and friendly security a breeze lounge was busy early evening but comfortable and clean flight attendants welcoming seat a nightmare it was the reverseforward with a step over from the window seat who the hell thought that was a good idea meal were ok but all curry based like curry and i was on a flight to india so fa was brilliant as the only flyer awake on an overnight flight improving since my last ba flight,Verified,Positive
3,"""the service was appalling""",E Dodson,2024-04-02,Boeing 777-200,3,1,1,2,2,1,1,no,this is the first time i have seen the new club world suite the seat was comfortable but unlike other airlines ba has crammed as many seats in business class as is humanly possible so the cabin felt cramped the crew behaved as though we the passengers should have been grateful for them turning up for their shift they looked scruffy in the new uniforms clearly the dress code policy has been scrapped i appreciate that appearance is no measure of service quality in the uk alone but the service was appalling the menu lacked choice and the food was presented as if it fell to the floor and was scooped back onto the plate the bedding was atrocious an old scraggly blanket and ill fitting seat cover i was cold and asked for an extra blanket which never arrived there were no drinks coasters obviously cutbacks so my drinks kept spilling i decided to clean up myself as the crew couldnt be bothered and didnt pick up on the fact i was using bathroom hand towels to act as drinks coasters to mop up the mess the aircraft was old although retrofitted and had a leak by the galley wall with lots of blue roll in situ to mop up the mess not at all a premium service this felt more like a low cost carrier doing business,Verified,Positive
4,"""service was slow and unfriendly""",David Williams,2024-04-02,Boeing 777-200,5,1,1,5,5,1,3,no,flew business class from doha to london on 31st march the service was slow and unfriendly even one of the male cabin crew working in business class asked the female cabin crew who was looking after the area where i was in to smile i ordered waffles for breakfast and they looked like theyd fallen off the plate and had been thrown back on see photo the plate that the waffles were served on was so hot that when i moved the plate i burnt my finger i wasnt warned that it was ferociously hot i was shocked at how bad the food presentation was but didnt feel comfortable saying anything to the cabin crew as she wasnt approachable or friendly for lunch the bread roll was so dry and rock hard that i couldnt cut through the ends not sure why the food and service was so bad on this flight as generally ba food is good and is well presented also the wifi wasnt working on the flight,Verified,Negative
8,"""a really lovely flight""",C Down,2024-03-28,A350,4,4,5,5,4,Not Rated,4,Yes,starting off at heathrow terminal 3 check in was fairly easy but fast track security was terrible the area is currently under refurbishment but there are only two scanning machines in the fast track area and at this time only one was in use so the queue was long and very slow moving ive heard mixed things about the ba club lounge but i was fairly impressed food options were fairly varied and tasted really nice nice salads as well as pie and veg drinks as always in ba lounges are very easy to lay your hands on and cater for most wants lounge was a decent size with various seating options and wasnt very busy at the time i went sunday evening boarding was well organised and club passengers higher tiers was boarded quickly and easily amenity kit bottle of water and bedding were waiting at the seat welcome drinks were provided fairly quickly after sitting down hot towel provided after take off shortly followed by drink and nuts as has been regularly said these nuts would be infinitely better if served properly not in a very small packet food service on board consisted of a main dinner service which was served 12 hrs after take off then a breakfast meal before landing both meals were genuinely delicious all meats were tender and juicy and very was perfectly cooked drinks were provided whenever asked although crew were too busy serving all passengers to proactively offer top ups breakfast was offered to passengers as they woke up which meant that people ate when they wanted rather than just in order almost but not quite like a la carte dining crew were friendly and efficient with some nice personality coming through this is fairly standard of my experience with ba in flight entertainment was excellent good screen quality responsive touch screen excellent selection i did not use the wifi however it was available on this aircraft and prices are reasonable i think the seat is generally very comfortable and the storage compartments are convenient and spacious enough the crew on my aisle side of the plane forgot to unlock all the doors so people had to work out how to do it themselves or periodically request the crew to do it for them whilst you can never complain about a fully flat bed the reverse herringbone layout does make the footwell a bit cramped and also means its a lot more comfortable to lie on one side rather than the other facing away from the door i did manage a few hours of sleep though so not too bad overall a really lovely flight and absolutely holding its own as a decent business class productservice,Verified,Positive
1,"""travelling with British Airways so stressful""",Robert Walls,2024-03-28,Couple Leisure,4,3,Not Rated,Not Rated,2,Not Rated,1,no,we have flown this route with easyjet regularly for more than twenty years but at the age of 80 boarding at nice has become so chaotic and wearing l decided to pay the significant extra amount to see if ba was better the outward flight from heathrow was not great but acceptable but when l attempted to checkin for the return l discovered that we did not have a booking at the time l booked l was recovering from a serious illness and assumed that l must have made a mistake after considerable panic l booked last minute flights at considerable cost with easyjet boarding being the usual shambles flying into gatwick rather than heathrow the only way to get home was a 120 taxi rather than a 2 bus fare from heathrow on arrival home l discovered that i did have an email confirmation of the return flight from ba so immediately contacted them to complain and ask for financial compensation in the two weeks since they have sent two apologies for their slow response but nothing else so far we have elderly friends who say that they now find travelling with british airways so stressful that they will not travel outside the uk again this will help the environment but it seems remarkable that the airline industry in the uk has deteriorated to this extent unfortunately jal or singapore both of which l have used happily over many years do not fly within europe,Not Verified,Positive
8,didn't find the crew particularly welcoming,Troy Robinson,2024-03-26,Boeing 777,5,2,5,5,3,Not Rated,4,Yes,a last minute business trip to hnd a route i regularly fly overall a good experience in the new club world offering which personally i like and find to have plenty of room although some say it is a little tight i arrived lhr in plenty of time and used the first class wing as i am eligible due to exec club status great to see the security lane reopen and efficient due to the new no need to empty your bag scanners additionally the first class lounge was not as busy as usual so a nice experience boarding was from gate a10 by bus probably the least enjoyable part of the journey its not uncommon for this flight to use a10 which baffles me as such a large number of passengers need to take the not so scenic journey past all the a gates b gates and finally c gates before arriving at the aircraft even passing a few empty airbridge gates on route boarding was not well organised with no real announcements they started checking in peoples bags and preboarding with no announcement which then confused people who thought it was general boarding and started moving forward group 1 was then opened before i got to the front on the queue group 2 3 began boarding from a separate line and there were too many people waiting to board the buss so not enough room once onboard the aircraft was clean and i like the ife offering in the new club world unfortunately i didnt find the crew particularly welcoming or engaging i know its a lot of passengers and a long flight but there was not much smiling or customer service at one point i had to walk through the galley to the toilet on return 3 crew members were talking one in particular was blocking my way and after looking at me proceeded to continue and didnt offer to et me past eventually the inflight manager moved him to one side so i can pass on another occasion i went to request a drink and was effectively scowled at in a look that felt like what do you want and why are you disturbing me other than those points a generally good flight and on time arrival to hnd,Verified,Positive
5,"""I would say disappointing""",R Norton,2024-03-26,A320,4,3,Not Rated,Not Rated,1,Not Rated,3,Yes,overall i would say disappointing due to ba status i had lounge access on the small side and very busy the aircraft used a remote gate boarding was not well organised by group status as it should be but i did manage to make my way onto the first bus of 3 on arrival at the aircraft the plane was still being prepared so we had to wait on the bus after 10 minutes or so everyone was becoming a little irritable as it turns out the inbound flight had a number of complex wheelchair passengers that needed assistance which was delayed and took a long amount of time when it did arrive after 35 minutes waiting on the bus we finally boarded the aircraft the captain apologised for the delay no mention from the crew seat was standard euro traveller the service was okay but the crew were not particularly engaging when i tried to order a coffee due to the seatbelt sign being on as a result of some minor turbulence i was told it wouldnt be possible as the crew member reached two rows behind be the seatbelt sign was turned off but they didnt come back to ask if i would still like a coffee overall we arrived into lhr 1 hour late no tug to move the aircraft in lisbon and had to wait for the gate in lhr disappointing but not the worst flight i have had,Verified,Negative
10,"""Exceptional flight""",Paul Lee,2024-03-25,Boeing 777,5,5,5,5,5,Not Rated,5,Yes,lhr to delhi in business exceptional flight stylish and quirky b gates lounge with interesting modern and eclectic food plus whispering angel bar food on board was delicious and well presented friendly fun relaxed crew with a blend of deference selfdeprecation and over familiarity been flying ba for 35 years in various classes and this was probably the best great job ba,Not Verified,Positive
9,"""Cabin crew attentive and bubbly""",Paul Lee,2024-03-25,A320,5,5,5,Not Rated,4,Not Rated,5,Yes,efficient and smooth flight from start to finish cabin crew attentive and bubbly very clean aircraft mcvities snacks a nice touch and even the coffee in a bag was unexpectedly nice everything to praise and nothing to complain about,Not Verified,Positive
3,a terrible and unnecessary experience,Peter Buchanan,2024-03-25,Couple Leisure,3,3,Not Rated,Not Rated,3,Not Rated,2,no,was told we can not take hand luggage onto the plane as all overhead cabins were already full so had to put them in the hold when we at the aircraft door frustrating as we had just hand luggage to avoid delays at heathrow then the bags did not arrive at the baggage belt and after 45 mins waiting had to spend another 30 mins filling in forms etc was told the bags are still in madrid so they know that all the time and did not have the decency to inform us before we waited for them to arrive 12 hours later no communication from ba such a terrible and unnecessary experience and so badly handled by ba there were many people who had bags that were too big for hand luggage hence the cabins were full before everyone had boarded which is unfair and then not helping by informing us of the fact they did not leave madrid is a double level of incompetence,Verified,Negative
8,"""stick to their cabin bag size limit""",Michael Powell,2024-03-21,A320,4,4,Not Rated,Not Rated,3,Not Rated,3,Yes,the flight was comfortable enough but with an hour delay on the return leg however on both leg i was told i had to put my very small and expensive cabin case into the hold as the flight was full having done so i was not amused to see other passengers bringing much larger cases into the cabin ba should stick to their cabin bag size limit and not inconvenience those who comply,Not Verified,Negative
8,"""crew were attentive, friendly""",N Wardan,2024-03-21,Boeing 787-8 /777-200 / A320-200,4,5,5,4,3,Not Rated,4,Yes,we had a really good flying experience with ba travelling as a young family of 4 the flights left on time and we even arrived early for nearly each one of our flights food was generous and quite tasty for economy class with the crew coming around with waterdrinks throughout the flights our checked luggage also arrived safely and undamaged both at vce and our return flight to yul on all of our flights the crew were attentive friendly and helpful with us and our children especially the gentlemen who served us on the return flights from vce to yul on march 5th the b7878 interior is really dated and really needs to be updated to compete with their european counterparts there were panels squeaking loudly when we hit turbulence seat covers coming off the seats and tray tables which were not level and loose for eating the ife on the b7878 worked fine but it definitely wasnt as responsive and did not have a newer larger screen like the ones on the b777200 thankfully the b777200 have had their interior updated but the one we flew on had a clogged sink in one of the lavatories which created problems for passengers unfortunately on nearly all of our flights there was garbage left in the seat pockets and the floors werent quite as clean on the incoming flight to lhr the b7878 was not assigned a gate because we arrived early into the airport which resulted in significant delays for the airport buses to get to the plane and also slowed down the deplaning process we would definitely consider flying transatlantic with ba again as we received value and service for the fare we paid,Verified,Positive
3,"""Utterly outrageous""",Solomon Pachtinger,2024-03-19,A321,2,1,2,1,1,2,1,no,waited an hour to checkin at the paphos business checkin staff utterly incompetent flight crew in business class removed my ruck sack from the flight bins without my consent to make way for another customer luggage i was then coerced to have my luggage at my feet throughout my flight utterly outrageous last thing you would expect in ba business class,Verified,Negative
3,"""They have a long way to go""",Paul Roberts,2024-03-19,Boeing 777-300,1,3,3,2,1,2,1,no,not a great experience at all from the outset it was poorly managed as they bused us out to a parking slot only to have us wait for 15 minutes in the bus as the plane was ready ba business class is not business class tired small and generally not worth the ticket price tables that dont sit straight arm rests that arent secure and terrible screens its not a patch on first class airlines which is apparently where ba think they should be they have a long way to go,Not Verified,Negative
7,"""FA's were friendly""",E Carmere,2024-03-14,A320,2,4,3,Not Rated,3,Not Rated,3,Yes,boarding was difficult caused by vast majority of the passengers carrying too much hand luggage fas were friendly the seats on ba for european flights are extremely narrow there was a choice of breakfast and very surprising the champagne castelau on european flights is of a better quality as the brand used in club on intercontinental flight nothing wrong with this flight however not pleasant due to the unpleasant seats waiting time at brussels for luggage some 20 minutes what is very acceptable,Verified,Negative
3,"""Far from pleasant experience""",E Carmere,2024-03-14,Boeing 777,3,3,2,2,1,Not Rated,2,no,boarding started with a delay of some 20 minutes everybody could see members of the team only did arrive 5 en 3 minutes before the announced boarding time we had to wait outside for nearly 15 minutes it was hot unfortunately flying from barbados to london in club class was an underwhelming experience ba is not performing a great performance on international flights anymore lucky the 777 had the new configuration as welcome aboard champagne or fruit juice the glasses were filled at the level of one inch a far cheaper brand of champagne heidsieck monopole and no more rosé champagne available wines also poor there was no french wine cognac is also not available anymore my meal was sub par the steak was replaced by beef stew and the fa made it very clear dessert or cheese not both after some 4 hours flight there was no more ice available minimal information from the flight deck breakfast not suitable at all for a business class some of the fa were friendly others not at all far from pleasant experience despite the high fares,Verified,Positive
1,"""cancelled our return flight""",P Marten,2024-03-12,Family Leisure,2,1,2,Not Rated,1,Not Rated,1,no,absolutely horrible customer service will never fly again we left toronto for london and then missed our connecting flight from london to mumbai so we had to book with a different airline and pay the costs they then cancelled our return flight 3 weeks later from mumbai to toronto without notifying us we just happened to find out when we tried to check in on the day of we are now stuck in mumbai with 3 small kids no return flights first and last time flying with them,Verified,Negative
7,"""KLM is definitely a league over BA""",S Mahoney,2024-03-11,Family Leisure,3,4,1,Not Rated,2,Not Rated,5,Yes,ba is not what it used to be as much as i like their onboard crew their check in staff lacked interest in their job and safety at no point did he make eye contact or ask security questions and counters opened 7 minutes late crew from cph was wonderful but announcements were too loud and too many maybe i was just grumpy took less than 15 to get out of lhr through self service and transfer to lgw was a breeze crew on the pos sector was ok had an aisle seat and was bumped into by a cabin crew booty continuously for 9 hours not her fault but could never relax fully one caribbean crew excelled and joined the carnival spirit most passengers were feeling onboard i wonder if ba management ever tasted the food onboard absolutely tasteless and some of the worst i saved 550 choosing ba over klm which was the only reason i chose them klm is definitely a league over ba in many aspects and no need to change airports,Not Verified,Positive
1,"""Service extremely inattentive""",Frank Fehle,2024-03-10,Boeing 777-300ER,2,1,1,Not Rated,3,3,1,no,ba first its not even the best business class in the sky cabin very long in the tooth service extremely inattentive and lackadaisical been waiting over an hour to be offered after dinner drinks or dessert nothing just awful value for money,Verified,Positive
3,"""worst business class experience""",I Carsen,2024-03-05,Boeing 777-300,1,1,2,2,3,Not Rated,2,no,the worst business class experience ground crew in singapore were friendly i ended up switching lounges from ba to qf the aircraft was late 1 hour the cabin crew in business class were some of the most unfriendliest crew i have experienced no one smiled not welcomed on board no body was checking though out the flight if i wanted anything i found my seat sat down and waited for someone to offer me a refreshment nobody came a stewardess approached a passenger sitting infront of me if hed been offer a refreshment he said no i looked at her and made eye contact she looked at me and walked straight past observing some of the other passenger the crew did not assist any of the ladies struggling to put their carry on luggage in the overhead during the entire flight all the staff felt like they hated being on the flight and did not want to work when disembarking walked past 4 crew not one was saying goodbye and thank you to any passengers the food i had was average i had a cocktail it was ok the wine selection was below average,Verified,Negative
